title,lyrics,label
When It Hurts so Bad,when it hurts so bad when it hurts so bad when it hurts so bad when it hurts so bad whys it feel so good when it hurts so bad when it hurts so bad when it hurts so bad i loved real real hard once but the love wasnt returned found out the man id die for he wasnt even concerned i tried and i tried and i tried to keep him in my life to keep him in my life i cried and i cried and i cried but i couldnt make it right but i i loved the young man and if you ever been in love then youd understand that what you want might make you cry what you need might pass you by if you dont catch it if you dont catch it if you dont catch it and what you need ironically will turn out what you want to be if you just let it if you just let it if you just let it if you just let it see i thought this feeling it was all that i had but how could this be love and make me feel so bad gave up my power gave up my power i existed for you but whoever knew the voodoo youd do but i i loved the young man and if you ever been in love then youd understand that what you want might make you cry what you need might pass you by if you dont catch it if you dont catch it if you dont catch it and what you need ironically will turn out what you want to be if you just let it if you just let it if you just let it if you just let it see what you want might make you cry what you need might pass you by if you dont catch it if you dont catch it if you dont catch it and what you need ironically will turn out what you want to be if you just let it if you just let it if you just let it if you just let it when it hurts so bad when it hurts so bad when it hurts so bad when it hurts so bad whys it feel so good when it hurts so bad when it hurts so bad when it hurts so bad when it hurts so bad when it hurts so bad when it hurts so bad when it hurts so bad whys it feel so good when it hurts so bad when it hurts so bad when it hurts so bad when it hurts so bad when it hurts so bad so bad when it hurts so bad when it hurts so bad when it hurts so bad,Sad
,,
"Another Brick in the Wall, Pt. 2",we dont need no education we dont need no thought control no dark sarcasm in the classroom teacher leave them kids alone hey teacher leave them kids alone all in all its just another brick in the wall all in all youre just another brick in the wall we dont need no education we dont need no thought control no dark sarcasm in the classroom teachers leave them kids alone hey teacher leave us kids alone all in all youre just another brick in the wall all in all youre just another brick in the wall wrong do it again children playing wrong do it again if you dont eat your meat you cant have any pudding wrong do it again how can you have any pudding if you dont eat your meat wrong do it again you yes you behind the bike sheds stand still laddie if you dont eat your meat you cant have any pudding how can you have any pudding if you dont eat your meat you yes you behind the bike sheds stand still laddie children playing phone beeping sound,Angry
,,
Up!,im goin up im goin up im goin up im goin up im goin up im goin up up up up its bout as bad as it could be seems everybodys buggin me like nothing wants to go my way yeah it just aint been my day nothings coming easily even my skin is acting weird i wish that i could grow a beard then i could cover up my spots not play connect the dots i just wanna disappear up up up can only go up from here up up up where the clouds gonna clear up up up theres no way but up from here even something as simple as forgetting to fill up on gas there aint no explanation why things like that can make you cry just gotta learn to have a laugh up up up can only go up from here up up up where the clouds gonna clear up up up theres no way but up from here oh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah when everything is goin wrong dont worry it wont last for long yeah its all gonna come around dont go let it get you down you gotta keep on holding on its about as bad as it could be bad as it could be seems everybodys bugging me everybodys bugging me like nothing wants to go my way yeah it just aint been my day nothings coming easily oh oh oh oh and up up up can only go up from here up up up where the clouds gonna clear up up up theres no way but up from here up up up ooh im goin up im goin up im goin up im goin up im goin up im goin up up up up up im goin up im goin up ohh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah,Sad
,,
Bodyguard,whos gonna bodyguard ya mr boduguard whos gonna bodyguard ya mr bodyguard whos gonna bodyguard ya mr bodyguard cause iman nuh wan no one a mi yard no one to claim seh dem a mi guard a mi yard whos gonna bodyguard ya mr bodyguard i want to know who whos gonna bodyguard ya mr bodyguard one of these days it a go dread dreader than dread evryone looking a place to hide em head well dread whos gonna bodyguard ya mr bodyguard i wanna know who whos gonna bodyguard ya mr bodyguard yeah all who claim seh them a chief of staff one a these days dem ha fi chuck off yeah come a walk whos gonna bodyguard ya mr bodyguard i dont know who whos gonna bodyguard ya mr bodyguard yeah cause iman nuh wan no one a mi yard no one to claim seh dem a mi guard a mi yard whos gonna bodyguard ya mr bodyguard i wanna know who whos gonna bodyguard ya mr bodyguard yeah,Sad
,,
"Sing About Me, I’m Dying of Thirst",when the lights shut off and its my turn to settle down my main concern promise that you will sing about me promise that you will sing about me i said when the lights shut off and its my turn to settle down my main concern promise that you will sing about me promise that you will sing about me i woke up this morning and figured id call you in case im not here tomorrow im hopin that i can borrow a peace of mind im behind on whats really important my mind is really distorted i find nothing but trouble in my life im fortunate you believe in a dream this orphanage we call a ghetto is quite a routine and last night was just another distraction or a reaction of what we consider madness i know exactly what happened you ran outside when you heard my brother cry for help held him like a newborn baby and made him feel like everything was alright in a fight he tried to put up but the type of bullet that stuck had went against his will thats blood spilled on your hands my plans rather vindictive everybodys a victim in my eyes when i ride its a murderous rhythm and outside became pitch black a demon glued to my back whispering get em i got em and i aint give a fuck that same mentality i told my brother not to duck in actuality its a trip how we trip off of colors i wonder if ill ever discover a passion like you and recover the life that i knew as a youngin in pajamas and duntaduns when thunder comes it rains cats and dogs dumb niggas like me never prosper prognosis of a problem child im proud and welldevoted this piru shit been in me forever so forever ima push it wherever whenever and i love you cause you love my brother like you did just promise me youll tell this story when you make it big and if i die before your album drop i hope— promise that you will sing about me promise that you will sing about me i said when the lights shut off and its my turn to settle down my main concern promise that you will sing about me promise that you will sing about me you wrote a song about my sister on your tape and called it section80 the message resembled brendas got a baby whats crazy was i was hearin about it but doubted your ignorance how could you ever just put her on blast and shit judgin her past and shit well its completely my future her nigga behind me right now askin for ass and shit and ima need that forty dollars even if i got to fuck suck and swallow in the parking lot gonzales park im followed by a married man and father of three my titties bounce on the cadence of his tinklin keys matter of fact he my favorite cause he tip me with es he got a cousin named david and i seen him last week this is the life of another girl damaged by the system these foster homes i run away and never do miss em see my hormones just run away and if i can get em back to where they used to be then ill probably be in the denim of a family gene that show women how to be woman or better yet a leader you need her to learn somethin then you probably need to beat her thats how i was taught three niggas in one room first time i was tossed and im exhausted but fuck that sorry for your loss shit my sister died in vain but what point are you tryna gain if you cant fit the pumps i walk in ill wait… your rebuttal a little too late and if you have a album date just make sure im not in the song cause i dont need the attention bring enough of that on my own and matter fact did i mention that i physically feel great a doctors approval is a waste of time i know im straight ill probably live longer than you and never fade away ill never fade away ill never fade away i know my fate and im on the grind for this cake ima get it or die tryin im eyein every male gender with intentions of buyin you lyin to these motherfuckers talkin about you can help em with my story you can help me if you sell this pussy for me nigga dont ignore me nigga fuck your glory nigga you aint shit when the lights shut off and its my turn to settle down my main concern promise that you will sing about me promise that you will sing about me i said when the lights shut off and its my turn to settle down my main concern promise that you will sing about me promise that you will sing about me sometimes i look in the mirror and ask myself am i really scared of passin away if its today i hope i hear a cry out from heaven so loud it can water down a demon with the holy ghost til it drown in the blood of jesus i wrote some raps that made sure that my lifeline reekin the scent of a reaper ensurin that my allegiance with the other side may come soon and if im doomed may the womb of my mother be blessed for many moons i suffer a lot and every day that glass mirror get tougher to watch i tie my stomach in knots and im not sure why im infatuated with death my imagination is surely an aggravation of threats that can come about ’cause the tongue is mighty powerful and i can name a list of your favorites that probably vouch maybe cause im a dreamer and sleep is the cousin of death really stuck in the schema of wonderin when ima rest and youre right your brother was a brother to me and your sisters situation was the one that pulled me in a direction to speak on somethin thats realer than the tv screen by any means wasnt tryin to offend or come between her personal life i was like it need to be told cursin the life of twenty generations after her soul exactly whatd happen if i aint continue rappin or steady bein distracted by money drugs and 45s i count lives all on these songs look at the weak and cry pray one day youll be strong fightin for your rights even when youre wrong and hope that at least one of you sing about me when im gone am i worth it did i put enough work in promise that you will sing about me promise that you will sing about me i said when the lights shut off and its my turn to settle down my main concern promise that you will sing about me promise that you will sing about me promise that youll sing about me forever promise that youll sing about me for— ooooh promise that youll sing about me forever promise that youll sing about me for— ooooh promise that youll sing about me forever promise that youll sing about me for— ooooh promise that youll sing about me forever promise that youll sing about me for— ooooh on the phone ay ay ay where you bout to go nigga the homies brother nigga right here he gone my nigga he gone nigga they just killed the homies brother my nigga we right here on the block my nigga al alright nigga nigga just come alright alright just call me back man just call me back arghh fuck so what we gon do my niggas what we gon do bro we can go back right now my nigga like nigga i dont give a fuck my nigga we can go back right now fuck im tired of this shit im tired of fuckin runnin im tired of this shit my brother homie tired of runnin tired of huntin my own kind but retirin nothin tires are steady screechin the driver is rubbin hands on the wheel who said we wasnt dyin of thirst dyin of thirst dyin of thirst dope on the corner look at the coroner daughter is dead mother is mournin her stray bullets ak bullets resuscitation was waitin patiently but they couldnt bring her back who got the footage channel 9 cameras is lookin its hard to channel your energy when you know he crooked banana clip split his banana pudding im like tre thats cuba gooding i know im good at dyin of thirst dyin of thirst dyin of thirst how many sins im runnin out how many sins i lost count dreams of ballin like spalding but only shotty bounce the reaper callin im cottonmouth money is power money is power yours is ours yours is ours lay with a snitch die with a coward hope we get rich hope we can tower over the city with vanity with the music louder the same song a black flower ill show you how to dye your thirst dye your thirst dye your thirst what are we doin who are we foolin hell is hot fire is proven to burn for eternity return of the student that never learned how to live righteous but how to shoot it tired of runnin choirs is hummin tell us to visit we lie about comin now back to business loadin the guns in back of the buick your hood is feudin the beef is bubblin its no discussion hereditary all of my cousins dyin of thirst dyin of thirst dyin of thirst too many sins im runnin out somebody send me a well for the drought see all i know is takin notes on takin this life for granted granted if he provoke my best days i stress days lord forgive me for all my sins for i not know— my best days i stress days say fuck the world my sex slave money pussy and greed – whats my next crave whatever it is know its my next grave tired of runnin tired of runnin tired of tumblin tired of runnin tired of tumblin – backwards my momma say see a pastor give me a promise what if today was the rapture and you completely tarnished the truth will set you free so to me be completely honest you dyin of thirst you dyin of thirst so hop in that water and pray that it works fuck i’m tired of this shit i’m tired of fuckin runnin i’m tired of this shit that’s my brother homie young man come talk to me is that what i think that is i know thats not what i think that is why are you so angry see you young men are dying of thirst do you know what that means that means you need water holy water you need to be baptized with the spirit of the lord do you want to receive god as your personal savior okay repeat after me lord god i come to you a sinner lord god i come to you a sinner and i humbly repent for my sins and i humbly repent for my sins i believe that jesus is lord i believe that jesus is lord i believe you raised him from the dead i believe you raised him from the dead i would ask that jesus come into my life i would ask that jesus come in my life and be my lord and savior and be my lord and savior i receive jesus to take control of my life i receive jesus to take control of my life and that i may live for him from this day forward and that i may live for him from this day forward thank you lord jesus for saving me with your precious blood thank you lord jesus for saving me with your precious blood in jesus name amen in jesus name amen alright now remember this day the start of a new life – your real life,Sad
,,
Break On Through (To the Other Side),you know the day destroys the night night divides the day tried to run tried to hide break on through to the other side break on through to the other side break on through to the other side yeah we chased our pleasures here dug our treasures there but cant you still recall the time we cried break on through to the other side break on through to the other side everybody loves my baby everybody loves my baby she gets high she gets high she gets high she gets high yeah i found an island in your arms country in your eyes arms that chain eyes that lie break on through to the other side break on through to the other side break on through oh oh yeah made the scene week to week day to day hour to hour the gate is strait deep and wide break on through to the other side break on through to the other side break on through break on through break on through break on through yeah yeah yeah yeah yeah yeah yeah yeah yeah,Relaxed
,,
Reunited,its wu motherfuckers wutang motherfuckers its wu motherfuckers a wutang motherfuckers its wu motherfuckers a wutang motherfuckers its wu reunited double lp world excited struck a match to the underground industry ignited from metaphorical parables to fertilize the earth wicked niggas come try to burglarize the turf scatting off softass beats them niggas rap happily tragically that style deteriorate rapidly uncompleted missions throwing your best known compositions you couldnt add it up if you mastered addition where i come from getting visuals is habitual youre more safe walking on hot coals in rituals i splash the paint on the wall formed a mural he took a look saw the manifestation of it was plural rhyming while impaired dart hit your garment pierced your internal streamlined compartments just consider the unparalleled advantage of a natural disaster thats impossible to manage bitchass niggas counterfeit the funk i smoke the bead of the skunk tree top of the trunk moonshine drunken monk your head get shrunk your treasure sunk i be fucking bitches by the chunk my name black you worms wanna play in my dirt bitch stop my momma serve free lunch from the church i cum like a thousand doves bitch you quiet at the bus making no fuss i got self love unglove the noose watch a nigga transfuse dirty add to the fuse heavy at the booze i dont walk i get carried gold and platinum frisbees on my wall looking properly but comely i ufo you wright brothers the indian that sold manhattan to the white man my grandfather step up and get knocked right the fuck out come to the cookout dirty bitch at the mouth you scared run around like the plane about to crash wutang motherfuckers wutang motherfuckers yeah and rza yo yo the riddler funny bone tickler freak caligula bigger dick sex enigma pistil fertilize your stigma stinkbox order from pink dot mcs get stuck on ink blots airsound plug to the sinkbox wutang incorp take your brain on spacewarp talk strange like björk great hero jim thorpe how can i put it life is like video footage hard to edit directors that never understood it too impulsive my deadly corrosive dosage attack when you least notice through explosive postage i dont play the rap souffle sauté for the day ruler zigzagzig a leg leg arm head spread like plague we drink hennessy by the keg i got the golden egg plus the goose eighty proof absolut mixed with cranberry fruit juice ginseng root i got your neck in a noose keep my money wrinkled the rap star twinkle killer instinct sixteen bar nickel sell more copies than kinko grow like a fetus with no hands and feet to complete us and we return like jesus when the whole world need us is it appetite for destruction slap a murder rap on this production i touch something trust nothing iron lungtwisted metal i see em ducking my dart gun busting from every angle worldwide total carnage the sickest flow that be codenamed agent orange killing you slow its only right you pay homage to those thats bout to blow like that shit up your nose solid as a rock when i strike target verbal be screaming on you like a drill sergeant herbals got me where i wanna be right now dont know the time check the hour on your sundial watch me shine drunk off of cheap wine each line be on point when i speak mine on behalf of my crew suuuuuuuuuuu enter the wu 36 more deadly chambers to take you through its wu motherfuckers wutang motherfuckers its wu motherfuckers wutang motherfuckers its wu motherfuckers wutang motherfuckers its wu motherfuckers wutang motherfuckers its wu motherfuckers wutang motherfuckers its wu motherfuckers wutang motherfuckers oh yeahhhh ahhh aiyy yeahh yeahhhahh aiii and rza,Sad
,,
