,title,lyrics,label
10,Can’t Be Sure,give story give bed give oh love money go head like good something live youll find live tomorrow live behind high time country home free happy cry know thing find know thing mine country home free happy cry know thing find know thing mine know thing makes world go blind thing know really dont mind life life though cant sure want come well life life though cant sure want come,Sadness
11,Help!,help need somebody help help know need someone help much today never help way days gone im self find ive mind help im feeling round help get feet back ground wont please please help life oh many ways seems every feel know need like ive never done help im feeling round help get feet back ground wont please please help much today never help way days gone im self find ive mind help im feeling round help get feet back ground wont please please help help help ooh,Sadness
12,When It Hurts so Bad,hurts bad hurts bad hurts bad hurts bad feel good hurts bad hurts bad hurts bad loved real real hard love wasnt found man id die wasnt even tried tried tried keep life keep life couldnt make right loved young man ever love youd understand want might make cry need might pass dont catch dont catch dont catch need turn want let let let let see thought feeling could love make feel bad gave power gave power knew youd loved young man ever love youd understand want might make cry need might pass dont catch dont catch dont catch need turn want let let let let see want might make cry need might pass dont catch dont catch dont catch need turn want let let let let hurts bad hurts bad hurts bad hurts bad feel good hurts bad hurts bad hurts bad hurts bad hurts bad hurts bad hurts bad feel good hurts bad hurts bad hurts bad hurts bad hurts bad bad hurts bad hurts bad hurts bad,Sadness
13,"Another Brick in the Wall, Pt. 2",dont need dont need thought control dark leave kids alone hey leave kids alone another wall youre another wall dont need dont need thought control dark leave kids alone hey leave us kids alone youre another wall youre another wall wrong children wrong dont eat cant wrong dont eat wrong yes behind stand still dont eat cant dont eat yes behind stand still children phone sound,Tension
14,Up!,im goin im goin im goin im goin im goin im goin bout bad could seems like nothing wants go way yeah aint day coming even skin wish could grow could play wanna go gonna clear theres way even something aint things like make cry gotta learn laugh go gonna clear theres way oh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah everything goin wrong dont worry wont last long yeah gonna come around dont go let get gotta keep holding bad could bad could seems like nothing wants go way yeah aint day coming oh oh oh oh go gonna clear theres way ooh im goin im goin im goin im goin im goin im goin im goin im goin yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah,Sadness
15,Bodyguard,whos gonna ya mr whos gonna ya mr whos gonna ya mr cause nuh one mi one seh dem mi mi whos gonna ya mr want know whos gonna ya mr one days go dread dread looking place hide em head well dread whos gonna ya mr wanna know whos gonna ya mr yeah seh one days dem ha fi yeah come walk whos gonna ya mr dont know whos gonna ya mr yeah cause nuh one mi one seh dem mi mi whos gonna ya mr wanna know whos gonna ya mr yeah,Sadness
16,"Sing About Me, I’m Dying of Thirst",lights turn promise sing promise sing said lights turn promise sing promise sing morning id call case im tomorrow im peace mind im behind whats really mind really find nothing trouble life im believe dream call last night another know outside heard brother cry help like baby made feel like everything alright fight tried put stuck went thats blood hands rather eyes ride outside black back get em got em aint give fuck told brother trip trip wonder ill ever like life knew comes dumb niggas like never child im proud shit forever forever ima push love cause love brother like promise youll tell story make big die drop hope promise sing promise sing said lights turn promise sing promise sing song called got baby whats crazy could ever put shit past shit well nigga behind right ass shit ima need even got fuck lot im man father three matter cause got seen last life another girl run away never miss em see run away get em back used ill family show women woman better yet need learn somethin need beat thats three niggas one room first time im fuck sorry shit tryna cant walk ill wait little late make sure im song cause dont need bring enough matter feel great time know im straight ill live never away ill never away ill never away know im ima get die tryin im every motherfuckers talkin help em story help sell pussy nigga dont nigga fuck nigga aint shit lights turn promise sing promise sing said lights turn promise sing promise sing sometimes look ask really scared away today hope hear cry heaven loud water til blood jesus made sure side may come soon im may mother many lot every day get watch im sure im death come cause name maybe cause im sleep death really stuck ima rest youre right brother brother one speak somethin thats means wasnt tryin come life like need told life soul happen aint money lives songs look cry pray one day youll strong even youre wrong hope one sing im gone worth put enough work promise sing promise sing said lights turn promise sing promise sing promise youll sing forever promise youll sing promise youll sing forever promise youll sing promise youll sing forever promise youll sing promise youll sing forever promise youll sing phone bout go nigga homies brother nigga right gone nigga gone nigga homies brother nigga right block nigga alright nigga nigga come alright alright call back man call back fuck gon niggas gon go back right nigga like nigga dont give fuck nigga go back right fuck im tired shit im tired fuckin runnin im tired shit brother homie tired runnin tired kind nothin hands said wasnt dope corner look dead mother couldnt bring back got lookin hard know im like thats know im good many im runnin many lost dreams like im money power money power lay die hope get rich hope city music song black ill show doin hell hot fire burn never live shoot tired runnin tell us lie comin back back hood beef many im runnin somebody send well see know takin takin life best days days lord know best days days say fuck world slave money pussy whats next know next tired runnin tired runnin tired tired runnin tired say see give promise today truth set free water pray fuck im tired shit im tired fuckin runnin im tired shit thats brother homie young man come talk think know thats think see young men know means means need water water need lord want god okay lord god come lord god come believe jesus lord believe jesus lord believe dead believe dead would ask jesus come life would ask jesus come life lord lord jesus take control life jesus take control life may live day may live day thank lord jesus blood thank lord jesus blood jesus name jesus name alright remember day start new life real life,Sadness
17,Break On Through (To the Other Side),know day night night day tried run tried hide break side break side break side yeah cant still time break side break side everybody loves baby everybody loves baby gets high gets high gets high gets high yeah found arms country eyes arms eyes lie break side break side break oh oh yeah made day day deep break side break side break break break break yeah yeah yeah yeah yeah yeah yeah yeah yeah,Tenderness
18,Reunited,motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers world earth niggas come try niggas rap style best known couldnt come getting youre walking hot wall took look saw hit thats niggas smoke top head get fucking bitches name black wanna play bitch stop free church like thousand bitch making got self love watch nigga dirty dont walk get gold wall looking brothers white man step get right fuck come dirty bitch mouth scared run around like motherfuckers motherfuckers yeah yo yo bigger dick get stuck take talk like great put life like hard never dont play rap day head like drink got got neck keep money rap star bar sell grow like hands feet us like jesus whole world need us murder rap touch something trust nothing see em gun every flow slow right pay thats bout blow like shit rock like got wanna right dont know time check watch shine wine line speak mine take motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers motherfuckers oh,Sadness
19,Empire State of Mind,yeah yeah im im right next ill hood forever im new since made make yeah love everywhere used cop right back took street catch kitchen like street slow im home boy live boys say still give high nigga could trip tell im new york ayy uh yeah yeah dreams made theres nothin cant yeah okay youre new york uh yeah streets make feel new big lights come okay lets hear new york youre welcome come new york yeah new york uh made hot nigga catch game shit made know blue aint though got niggas though welcome shit home dollar back aint act like million city half yall wont make gotta got made im three lo three day rest peace long live world long live king yo im thats new york ayy uh yeah dreams made theres nothin cant boy good okay youre new york uh yeah welcome bright light baby streets make feel big lights okay lets hear new york come new york yeah new york uh lights girls need step quick side life dont caught youre gets cold skin city good girls gone bad took trip got bust everybody ride like mary city youre jesus cant save life church came school high life rap stars got feelin like city never better new york ayy ah uh yeah dreams made theres nothin cant okay youre new york uh yeah streets make feel big lights okay lets hear new york come new york yeah new york uh one hand air big city street lights big dreams lookin pretty place world could put air everybody say yeah come come yeah come new york uh yeah dreams made theres nothin cant okay youre new york uh yeah streets make feel big lights okay lets hear new york come new york yeah new york uh,Sadness
20,Wreck a pum pum,hear people one dem seen lord hear country hear hear hear girls walk girls talk talk broke heart take mic started talk man laugh laugh bad one thing cant understand every music go number one girl weh call upon hand give let wreck pon big fat let big fat way girl weh call say love death well free clothes fe get kiss pon love kiss come loving best let wreck pon big fat way go dollar bill say fe ride one better better say ride upon like ride pon hill let wreck pon big fat way girl weh say come loving king say lie pon like pon let wreck pon big fat way girl love back touch dance say please dont go say love sweet like mr like damn go go let wreck pon big fat way didnt drive car take girl weh call said rich man heard money inna inna every woman let wreck pon big fat,Tenderness
21,Where Did You Sleep Last Night,girl girl dont lie tell sleep last night sun dont ever shine would whole night girl girl go im going cold wind blows sun dont ever shine would whole night hard man head found body never found girl girl dont lie tell sleep last night sun dont ever shine would whole night girl girl go im going cold wind blows sun dont ever shine would whole night girl girl dont lie tell sleep last night sun dont ever shine would whole night girl girl go im going cold wind blows sun dont shine id whole night thank,Sadness
22,Identikit,moon clothes wont let know never gonna oh moon clothes wont let know never gonna oh moon clothes wont let know never gonna oh ones nothing left inside love love ones nothing left inside love love see around dont want know dont want know dont want see around dont want know dont want know dont want know broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain broken hearts make rain see around dont want know dont want know dont want see around dont want know dont want know dont want know,Sadness
23,High and Dry,two think thats pretty dont boy ground drop youd kill kill never ever stop broke another youre something dont leave high dont leave dry dont leave high dont leave dry one cannot talk fall sit could still make love theyre ones hate think youve got world theyre ones one dont leave high dont leave dry dont leave high dont leave dry oh best thing youve ever best thing youve ever ever best thing youve ever best thing youve gone away dont leave high dont leave dry dont leave high dont leave dry dont leave high dont leave high dont leave dry,Tension
24,That Summer,went work kid far home lonely woman make thousand miles nowhere far could see somethin yet might til came one hot smile dress eyes air even boy could need feel sky watch wonder eyes ride like bright wind dreams night wind around nothin us night told id never thats alright hands turn touch theres never another ever much need feel sky watch wonder eyes ride like bright wind dreams night think sweat another seen face every time pass watch wind know isnt real cant help feel arms need feel sky watch wonder eyes ride like bright wind dreams night wind dreams night,Tenderness
25,Pick Myself Up,morning sun oh sweet sing oh much wish could fly try said try try really try try try got pick start chorus sun coming hard even piece said try oh lord try try really try try try sun waiting time fly try said try good lord try really try try try long find time long find time ive got pick,Sadness
26,Mailman,dont know im feet fool see ive seen give want im sure would cause know im bottom know im bottom know im bottom im way yeah im way im yeah turned face place times made time im sure know im cause know im bottom know im bottom know im bottom im way yeah im way way way way place im send love wont see without know im bottom know im bottom know im im way yeah im way im way yeah im yes im im yes im im way yes,Sadness
27,A Milli,young money im going im young money hair isnt im like mind cause dont shit cause aint got time cause go dollar power brother son father got pussy tell cant catch cant stop go cant beat em pop em cant man em em cant stand em drop em pop em cause pop em like motherfucker im ill million million bitch long hair like air open see like look hes hes dog hes okay youre whats nothin nothin aint nothin call em call want bitch call never damn hate bitch dont hate bitch yeah bitch aint name bitch yeah nigga thats bitch ask money dont bitch aint got like bitch ass aint got shit motherfucker im ill sick im okay watch sick yeah drop sick yeah sick im motherfucker im ill see say im like big said gon beat name aint keep man one boy knew true shit got dont like two would like pay id rather told us world told us every girl dont play dont call mr mr boy got many bitches like im even said couldnt motherfucker say life aint shit without lips look like bitch turn crack rock dont cause aint nobody near dont see hear dont feel fear im,Tension
28,Blue Christmas,ill blue without ooh ooh ooh ooh ill blue thinking ooh ooh ooh ooh red green wont youre ooh blue start ooh ooh ooh ooh thats blue start ooh ooh ooh ooh youll doin right white ill blue blue blue blue youll doin right white ill blue blue blue blue ooh ooh ooh ooh,Sadness
29,I Will Always Love You,stay would way ill go know ill think step way always love always love thats im taking goodbye please dont cry know im need always love always love hope life kind hope ever wish joy wish love always love always love always love,Tenderness
30,Warning,fuck morning crack im cold eye see whos nigga pop told heard niggas wanna stick like slow love please chill drop remember niggas hill got nice yeah nigga nah niggas nah love wouldnt didnt say niggas knew back heard youre like wanna stick slow thank cause im got nigga tell gonna damn niggas wanna stick damn niggas wanna stick damn niggas wanna stick damn niggas wanna stick heard heard got heard got half even heard call theres gonna lot slow ya think war got door em tryin drop damn niggas wanna stick aint dream things aint always seem ones smoke ya see picture wanna come get ya ya wont got black put bad niggas went touch feel ima hit motherfuckers better bring pain gun fuck around get door beef nigga feel smoke dont give fuck gonna big come im runnin nigga bust gun hold hear somebody comin cmon motherfucker man im comin fast g bring motherfuckin ass come gettin close huh right sure man yeah im sure motherfucker come man fuck better motherfuckin house fuck right better motherfuckers house oh shit whats wrong whats red head man red oh shit got red head oh shit,Tension
31,Man in Black,well wonder always dress black never see bright back seem well theres reason things wear black poor living side town wear long hes times wear black never words jesus said road love youd think hes talking straight well fine clothes ones back front man black wear sick lonely old ones bad trip left cold wear black lives could lose hundred fine young men wear lord side wear another hundred thousand side well theres things never right know things need everywhere go til start make move make things right youll never see wear white ah id love wear every day tell world okay ill try carry little back things im man black,Sadness
32,Indian Outlaw,im half baby shes shes one kind friends call gets makes walk line find ill pull smoke hey pass around cause im half baby shes shes one kind aint lookin trouble ride make little heart lord like wine remember man caught running water hands around said wasnt kind cause im half baby shes shes one kind kill hundred dont know time round late night tryin catch nothin got line cause im half baby shes shes one kind people proud live proud die,Tenderness
33,Faceless Man,day river wind still time thats real sometimes youre alone remember feel said sometimes youre alone remember feel stand lord stand man stand lord stand man saw face water looked fight saw easy light looked right eyes always whats right looked right eyes always whats right stand lord stand man stand lord god stand man face inside cant see light know ill walk alone walk alone side know might make home stand lord stand man stand lord stand man next time see face ill say live always wont come inside never go away next time see face ill say live always wont come inside never go away stand lord stand man stand lord stand man stand lord stand man,Sadness
34,Love Iyah,love love peace love love love little love brother says love says love life hearts strong love cant go wrong say love love oh say love people say love love oh love come children love train love rise arms name turn brother make wrong good youve done say love love brother says love says love say love love peace love love try buy money honey pull eyes another love love brother says love says love people say love love say love even babe love jah call youth cause theyre strong dont give first good things shall say love good hate tell pray tell one love peace love brother say love,Tenderness
35,Killshot,sound like bitch bitch fuck done fuckin alright mic fuckin want smoke doin mic mic hit last night left neck wait im line next damn im really sorry want heart call back heres son listen man isnt mad gonna name damn gun eyes open smoke got fire say got say one call youre got die lets see slim youre ooh im im still three lets talk somethin dont really go mouth youre fuckin hill ima make ho chill like put bitch aint say youll run like phone bill lead dead thats time hold still hold cause im takin shit em need yo slim last four go back oh shoot three know know come oh broke bitch yeah enough money burn front ho true id rather til im old still whole got city go play feel like im got okay whole day fuckin got wake im aint never made next next ho really blow name next next motherfucker like last motherfucker sayin yeah mine aint nothin bitch give kiss gotta wake day fuck name cause said name gotta back yeah bitch pop pop moment big youre gonna get give go sleep feet deep ill give youd look would dick fuckin second get give life shit like hes good fuckin gun enough fuck hell fuck ill give cause knows long im hes gon live gun bitch get dance around like see youre fuckin cause young inside red black dress better rap better death love little white dont like mic really dont care whos right youre fight else want fuckin im still hes got day put day put hit got ah im sick still lets talk lets talk im sick rap mouth need get even talk talk im sick hair cause look think youre dont mean youre leave dick mouth keep im know love,Tension
36,Cemetry Gates,day meet side day meet side mine go inside people lives loves like mine born seems want cry say sun done words ive well ive heard said hundred times maybe maybe must words use dont take cause theres always someone somewhere big knows fall trip laugh fall say long done words could day lets go happy meet oh side day lets go wanted meet side lose cause mine,Sadness
37,Equal Rights,everyone crying peace yes none crying justice everyone crying peace yes none crying justice dont want peace need justice need justice need justice got get justice everybody want go heaven nobody want die father jesus everybody want go heaven none none want die dont want peace man need justice got get justice really need justice give share justice better give better better give cause dont want peace need justice need justice got get justice im fighting justice everyone top tell far bottom nobody knows everybody fighting reach top far bottom dont want peace want justice need justice got get justice really need justice everyone talking tell said talking tell really dont see dont want peace need justice got get justice justice justice everyone fighting justice fighting justice justice justice justice justice right justice,Tension
38,Rivers Of Babylon,dj sing song reach zion strong like fall stand right want keep mind thoughts river yeah zion us away us song sing king song land sing loud sing song freedom sing along brothers sing along oh let words hearts oh us away us song land oh oh let words let words mouth,Sadness
39,Big Up,one women please big man know say bomb one new brand bout number one watch fi big big women big big girl big big women big big see go watch go cop please stand please full walk pon street whole man big big big gal youre fat youre gal youre fat youre put hand inna air big gal youre fat youre know put hand inna air big gal youre fat youre another well put hand inna air big gal youre fat youre youre put hand inna air big say wa jump skin cause know say cause big thing man called leave man hair style man look well tell say man ready face look like fi night pain top like come come take one tell world big thing fat youre well put hand inna air big gal youre fat youre know put hand inna air big gal youre fat youre youre put hand inna air big well dont want man tell woman nice ey dont want man tell woman sweet dont want man tell woman nice woman nice dont want man tell woman sweet ey well fi big big big big body big big big big look say man big man big new york man big man say big big youre fat youre gal big tell say youre fat youre gal big tell god gal big tell youre gal big tell say gal big tell say youre fat youre well put hand inna air big gal youre fat youre know put hand inna air big gal youre fat youre youre put hand inna air watch go cop please stand please full walk pon street whole man big big big big youre fat youre girl man fat gal man fat eye ey dont want man say fi work oooh oooh eye ey dont know king know ya oooh big big big big body big big big big,Tenderness
40,Immigrant Song,come land ice sun hot flow drive new fight sing cry coming come land ice sun hot flow green war youd better stop peace trust win day,Sadness
41,Misery,im wreck im time made alive im im im broken fire burn sea car around hold theres reach apart like smoke fire started loves dont need anyone like theres tomorrow leave fear loves dont need anyone heart stone wont find way home lay cant sleep loves im im im broken theres reach apart like smoke fire started loves dont need anyone like theres tomorrow leave fear loves dont need anyone dont need anyone dont need anyone dont need anyone dont need anyone dont need anyone times night gone dark youre around thought times day check phone wont youre alone cause always left find way bed kill cause fun apart like smoke fire started loves dont need anyone like theres tomorrow leave fear loves dont need anyone dont need anyone dont need anyone dont need anyone dont need anyone dont need anyone,Sadness
42,Protect Ya Neck (The Jump Off),like welcome way came back door dance slim like taking straight big man get made cause without im yo got pass gotta send half dirty em stay god stay kill rap ho feel seen real ill real real ill ill people yo bring back yall niggas caught look mean go broke seen done words set dont eat fly ass know ill bust big like got time kill niggas cant im high tell put walk hell blow man speak dont pay time fuck never seen smoke got taking throw ya ones scared money dont make money throw ya thats word gun hear one head red man dead lead clear street like shit make niggas new york yo may catch may catch yall might catch sun wont catch without dead broke talkin rock son im still crazy old yall niggas rap red im nice murder bitches niggas wanna pop shit pop bitch ill put dick ya lips quick shit mouth voice white god body shit might see thats style might see bitch thats child keep low dead take dont smile tryna get money yall wild clothes make song like wild im game got game live life still want ready run like broke without run dj ground nigga gun sound best time yet still flow made clothes blow,Tension
43,I Just Call You Mine,sometimes make sure im dream thats seems close eyes ive ever known feels like home want everything everyone always wants know everyone knows always smile youre standing take years waiting chance shine everyone yeah call mine fall apart word seems fix wrong oh reach im strong got know id fool see even forget youre nothing makes sense youre whole world without whats,Tenderness
44,Deep Cover,hit motherfucker g man cant fuck man three motherfuckin aint hit front yet sayin think man aint motherfuckin cop well hit motherfucker lights feel night get shit deep motherfuckers cause niggas know im comin guess thats part game feel nigga think gonna come change get right let yo im wont stop get nigga top hope get ass drop back comin like fat rat big money big big back get got somebody knows get hit like like let know im lookin big fat dope lets want tonight well niggas time niggas place take case one boys face cause hes motherfucker fuck cause im goin deep yeah dont stop cause cop yeah dont stop cause cop hood call snoop bust fuck peace motherfuckin police know fuck cop fuck would think would stop yeah thats take yo ass boys blue dre snoop yo got feelin night like im feelin yeah lets go straight motherfuckin see find gettin niggas time wanna make put chill make bigger want meet tonight whats nigga wanna wanna got motherfuckin wanna nigga em stick em em fuck em feel yeah dont stop cause cop yeah dont stop cause cop time homie lot looked felt like better cause gettin oh come back im whats black chill lets hear aint feel right motherfuckers gonna come hope aint none cause save shit guess told give homie well put home make life oh yeah got sell dope us let think turned back guess told shot dont yeah dont stop yeah im pop cause cop yeah dont stop cause cop yeah dont stop cause cop yeah dont stop cause cop yeah dont stop cause cop yeah dont stop cause cop,Tension
45,This woman,oh yeah ah like ah pain ah like ah pain dont let dont let get today shell try come heart ah ah like pain dont let dont let get today shell try come heart ah ah oh yeah ah ah dont let dont let get today shell try come heart pain ah ah dont let dont let get,Sadness
46,Naked And Savage,cool wild away deep long hard kiss hand love lips heart eyes cry tears away years leave dream cry tears kiss round crazy cool wild away deep long hard kiss hand love lips round crazy kiss love dreams apart tears round crazy,Sadness
47,Superunknown,isnt see doesnt make blind doesnt make feel doesnt mean youve high high dont want seen dont hide dont want believe dont try feel alive alive alive alive first mind doesnt make free doesnt mean youre doesnt take doesnt mean youre high doesnt make smile dont cry isnt making sense doesnt make lies alive alive alive first mind soul get get alone get get control control alive alive alive alive alive alive alive alive alive first mind first mind first mind soul,Sadness
48,Retribution,ground brothers kick push stand soon day come fall upon every day theres come one day pay day father come judge ground brothers kick push stand soon day come fall upon every every theres every day help never want give turn ever ever learn soon day come fall upon every every theres come one day pay day father come judge ground brothers kick push stand soon day come fall upon every every theres ground brothers kick push stand soon day come fall upon every every theres,Tension
49,Tammy Wynette Kind of Pain,aint little running aint little little smile im cause aint little girl standing man thats broken plan heart trust two hands dont want see crying youre crying rain talking kind pain theres sky full tears every every word wine guess together along til make standing man thats broken plan heart trust two hands dont want see crying youre crying rain talking kind pain standing man well thats broken plan heart trust two hands means ring dont mean thing oh talking kind pain,Sadness
50,Together As One,whole life whole life ive got dream whole life whole life ive got dream many people hate like many people hate like hey rasta man hey man weve got come together one hey rasta man hey man weve got come together one hey rasta man hey man weve got come together one wrong us wrong us years fighting years fighting hey rasta man hey man weve got come together one hey rasta man hey man weve got come together one whole life whole life ive got dream whole life whole life ive got dream many people hate like many people hate like hey rasta man hey man weve got come together one hey rasta man hey man weve got come together one,Tension
51,Natural Natty,everything dem miss dem run dem mouth pon natty dead natty dread everything dem lose dem natty dread natty dread dem know go right time come try fe learn natty fe slave fe big big around natty live jah jah dread weh dem like little upon head natty dread full time dem know right say natty man full time dem know right say natty full time dem know say natty man full time dem know right say natty yeah try understand natty fe slave fe big big around natty live jah jah dread weh dem like little upon head full time dem know right say natty man full time dem know right say natty,Tension
52,Ring of Fire,love burning thing makes ring wild fell ring fire fell burning ring fire went went ring fire ring fire fell burning ring fire went went ring fire ring fire taste love sweet hearts like meet fell like child oh fire went wild fell burning ring fire went went ring fire ring fire fell burning ring fire went went ring fire ring fire ring fire ring fire ring fire ring fire ring fire ring,Tenderness
53,Country Feedback,clothes clothes dont us right im blame come hand come hair come come wear wear weve fuck control lost head need need rain honey crazy wanted crazy crazy crazy need need crazy crazy need need crazy crazy need need need crazy need need crazy crazy need need crazy crazy,Sadness
54,All Day and All of the Night,im girl want time time feel alright side girl want time day night day night day night believe last forever oh yeah day leave never time feel alright side girl want time day night day night oh come believe last forever oh yeah day leave never time feel alright side girl want time day night day day night,Tenderness
55,Alabama Song (Whisky Bar),well show way next bar oh dont ask oh dont ask show way next bar oh dont ask oh dont ask dont find next bar tell must die tell must die tell tell tell must die oh moon must say goodbye weve lost good old mama must oh know show way next little girl oh dont ask oh dont ask show way next little girl oh dont ask oh dont ask dont find next little girl tell must die tell must die tell tell tell must die oh moon must say goodbye weve lost good old mama must oh know,Sadness
56,Disintegration,oh miss kiss kiss black side mouth eyes heart run bit bit need let go party piece oh miss kiss kiss love sound makes deep holding knees bit bit need let go party piece never said would stay end leave like hope leave songs dreams us knew would come back round apart apart like im made making behind back holding breath fear sleep holding behind head cut deep heart round round round coming apart know im ill pull heart ill anyone im crying cry love three everyone sky mouth mouth eye eye get heaven ever feel whole never said would stay end knew would leave everything like hole leave songs dreams us knew end always end always end always end always end always end always always always,Sadness
57,African Teacher,teach teach teach teach teach teach teach teach teach teach never late always never always thats nah sit inna back natty like bright bright bright bright bright bright bright bright part yes part teach teach teach teach teach go school never reach upon yes teach teach teach teach teach teach teach teach teach teach right teach like right natty like bright bright bright bright bright bright natty bright natty bright natty bright bright natty like teach natty part right natty teach teach natty like bright bright,Sadness
58,"Hello, I Love You",love wont tell name love let jump game love wont tell name love let jump game shes walking street blind every eye think youll make love wont tell name love let jump game love wont tell name love let jump game head high like sky arms long song feet like dog something sweet hope make see fool hope want need baby,Tenderness
