,title,lyrics,label
295,Beast of Burden,ill never be your beast of burden my back is broad but its ahurting all i want for you to make love to me ill never be your beast of burden ive walked for miles my feet are hurting all i want is for you to make love to me am i hard enough am i rough enough am i rich enough im not too blind to see ill never be your beast of burden so lets go home and draw the curtains music on the radio come on baby make sweet love to me am i hard enough am i rough enough am i rich enough im not too blind to see oh little sister pretty pretty pretty pretty girls youre a pretty pretty pretty pretty pretty pretty girl pretty pretty such a pretty pretty pretty girl come on baby please please please ill tell you you can put me out on the street put me out with no shoes on my feet but put me out put me out put me out of misery yeah all your sickness i can suck it up throw it all at me i can shrug it off theres one thing baby i dont understand you keep on telling me i aint your kind of man aint i rough enough ooh honey aint i tough enough aint i rich enough in love enough ooh please ill never be your beast of burden ill never be your beast of burden never never never never never never never be ill never be your beast of burden ive walked for miles my feet are hurting all i want is you to make love to me yeah i dont need no beast of burden i need no fussing i need no nursing never never never never never never never be,Tenderness
296,"Findum, Fuckum & Flee",hehehehehehehahahahaha yeah its me again so check it out ladies not gentlemen drop your draws cop a seat and lets get into this yeah easily im approachin there aint no jokin when the pussy holes are open ready to fuck until my dick is raw yo the muthafuckin devils soninlaw peter peter the pussyeater no its the e the mothafuckin pussybeater and im the quickerpickerup im quick to pick up a bitch so come here bitch and lick up and lick up and lick up the dick now how many nuts would it take for me to let that bitch graduate to lesson three lets see splash splash splash splash splash splash as you can see i straight waxed that ass back up bitch unless you want nut in your eye i never never ever ever seen a bitch cry nut one nut two nut four five six i lost the third nut in the mix fuck it hey yo yella boy why dont you rewind it six five four now three is up gimme that gimme that gimme that nut you wanna feel the dick baby try your luck because the e likes to fuck fuck fuck yo i get em stuckon and get the fuck on give em a tootsie roll and tell em thanks for the pussy hole i find em fuck em and flee you know but before i do yo i take a ho to the hotel to the motel to the holiday inn yo if that bitch start fuckin up what you do ill just fuck her friend ah dr dre what up my mellow yo its on you so what the fuck youre gonna do well its on and on and on and on yo the beat dont stoppin till the break o dawn yo every bitch i know they wanna get with me the motherfuckin notorious dre spit game at a bitch while a niggas around and you know most hos knows not to clown cause if a bitch tries to diss me while im full of liquor i smack the bitch up and shoot the nigga thats with her thats the kind of nigga that youre listenin to talk to you for a minute then my dicks in you yo now every single bitch got a price to pay up on the dicks of nwa i find em fuck em and flee you know but before i do yo i take a hoe to the hotel to the motel to the holiday inn say what if that bitch start fuckin up yo ill just fuck her friend now mc ren what up my mellow a check it out its on you so what the fuck youre gonna do now gather around yall and check it out yall and all the bitches come and suck up on my balls yall and take a ticket to play with it like a slinky so put your lips on my big chocolate twinkie and you swallow all the nut if you bitches are smart to make my dick pop up like a poptart but after i nut imma leave ya but first i must deceive ya because bitch i dont need ya and dont say that you love me too cause if i turn my back you would fuck the whole crew youre nothin but a stank ho tryin to take my bank ho so i have to let you know at a hotel and a motel and a holiday inn say what because if that bitch starts fuckin up yo ill just fuck her friend,Tension
297,Why We Thugs,yeah every hoods the same every hoods the same come on they give us guns and drugs then wonder why in the fuck we thugs they wanna count the slugs then come around here and fuck with us they give us guns and drugs then wonder why in the fuck we thugs they wanna count the slugs then come around here and fuck with us im from the land of the gang bang since i was little aint a goddamn thang changed its the same old saying bush run shit like saddam hussein i cock and aim clinically insane to deal with this bullshit daytoday if i sell some yay or smoke some hay you bitches wanna throw me up in pelicans bay call me an animal up in the system but whos the animal that built this prison whos the animal that invented lowerlivin the projects thank god for russell simmons thank god for sugarhill im putting a different kind of steel up to my grill yall know what it is scared for your own kids how these ghetto niggas taken over showbiz they give us guns and drugs then wonder why in the fuck we thugs they wanna count the slugs then come around here and fuck with us they give us guns and drugs then wonder why in the fuck we thugs they wanna count the slugs then come around here and fuck with us its boys in the hood its toys in the hood yall wanna know why theres noise in the hood cause theres drugs in the hood thugs in the hood nigga killed a crip and a blood in the hood cause when niggas get tribal its all about survival nobody liable i got caught by fiveo grandmama came to court with her bible but when the judge hit the gavel now im too far from my family to travel i just came unraveled socked the da before i got gaffled owned by ca state property just like the year fifteen fifty three looking for me a oneway ticket out dont understand whats so hard to figure out they give us guns and drugs then wonder why in the fuck we thugs they wanna count the slugs then come around here and fuck with us they give us guns and drugs then wonder why in the fuck we thugs they wanna count the slugs then come around here and fuck with us damn i cant take the pressure pulled the 44 up out the dresser grabbed the weight up out the closet popo coming but im scared to toss it yall know what happened last time i lost it cant tell you niggas what the fuckin boss did d game got a nigga exhausted gotta go for the plea bargain they offered twenty years for what breaking these laws thats so corrupt taking these halls and fillin them up some powder keg shit thats about to erupt aye yall im about to be stuck until the year two thousand what the fuck in the hood dont press your luck cause these motherfuckers will set you up word up they give us guns and drugs then wonder why in the fuck we thugs they wanna count the slugs then come around here and fuck with us they give us guns and drugs then wonder why in the fuck we thugs they wanna count the slugs then come around here and fuck with us every hoods the same every hoods the same every hoods the same every hoods the same every hoods the same stop trippin on it every hoods the same every hoods the same every hoods the same every hoods the same every hoods the same,Tension
298,"Cold, Cold Heart",i tried so hard my dear to show that youre my every dream yet youre afraid each thing i do is just some evil scheme a memory from your lonesome past keeps us so far apart why cant i free your doubtful mind and melt your cold cold heart another love before my time made your heart sad and blue and so my heart is paying now for things i didnt do in anger unkind words are said that make the teardrops start why cant i free your doubtful mind and melt your cold cold heart youll never know how much it hurts to see you sit and cry you know you need and want my love yet youre afraid to try why do you run and hide from life to try it just aint smart why cant i free your doubtful mind and melt your cold cold heart there was a time when i believed that you belonged to me but now i know your heart is shackled to a memory the more i learn to care for you the more we drift apart why cant i free your doubtful mind and melt your cold cold heart,Sadness
299,Hit ’Em Up,i aint got no motherfuckin friends thats why i fucked yo bitch you fat motherfucker take money west side bad boy killas take money you know who the realest is take money we bring it too take money first off fuck yo bitch and the clique you claim westside when we ride come equipped with game you claim to be a player but i fucked your wife we bust on bad boys niggas fucked for life plus puffy tryna see me weak hearts i rip biggie smalls and junior mafia some markass bitches we keep on comin while we runnin for your jewels steady gunnin keep on bustin at them fools you know the rules lil caesar go ask your homie how ill leave ya cut your youngass up leave you in pieces now be deceased lil kim dont fuck around with real gs quick to snatch yo ugly ass off the streets so fuck peace ill let them niggas know its on for life dont let the westside ride tonight ha ha bad boy murdered on wax and killed fuck with me and get yo caps peeled you know see grab your glocks when you see 2pac call the cops when you see 2pac uh who shot me but you punks didnt finish now you bout to feel the wrath of a menace nigga i hit em up check this out you motherfuckers know what time it is i dont even know why im on this track yall niggas aint even on my level ima let my little homies ride on you bitchmade ass bad boy bitches feel it get out the way yo get out the way yo biggie smalls just got dropped little moo pass the mac and let me hit him in his back frank white needs to get spanked right for settin traps little accident murderer and i aint never heard of ya poisonous gats attack when im servin ya spank ya shank ya whole style when i gank guard your rank cause ima slam your ass in the paint puffy weaker than the fuckin block im runnin through nigga and im smokin junior mafia in front of you nigga with the ready power tucked in my guess under my eddie bauer your clout pettysour i push packages every hour i hit em up grab your glocks when you see 2pac call the cops when you see 2pac uh who shot me but you punks didnt finish now you bout to feel the wrath of a menace nigga we hit em up peep how we do it keep it real as penitentiary steel this aint no freestyle battle all you niggas gettin killed with your mouths open tryna come up off of me you in the clouds hopin smokin dope its like a sherm high niggas think they learned to fly but they burn motherfucker you deserve to die talkin about you gettin money but its funny to me all you niggas livin bummy while you fuckin with me im a selfmade millionaire thug livin out of prison pistols in the air ha ha biggie remember when i used to let you sleep on the couch and beg a bitch to let you sleep in the house now its all about versace you copied my style five shots couldnt drop me i took it and smiled now im back to set the record straight with my ak im still the thug that you love to hate motherfucker i hit em up im from new jers where plenty of murders occurs no points or commas we bring drama to all you herbs now go check the scenario lil cease ill bring you fake gs to your knees coppin pleas in de janeiro little kim is you coked up or doped up get your little junior whopper click smoked up what the fuck is you stupid i take money crash and mash through brooklyn with my click lootin shootin and pollutin your block with a 15shot cocked glock to your knot outlaw mafia clique movin up another notch and your pop stars popped and get mopped and dropped all your fakeass east coast props brainstormed and locked yous a beat biter a pac style taker ill tell you to your face you aint shit but a faker softer than aliz with a chaser about to get murdered for the paper edi mean approach the scene of the caper like a loc with little ceas in a choke gun totin smoke we aint no motherfuckin joke thug life niggas better be knowin we approachin in the wide open gun smokin no need for hopin its a battle lost i got em crossed as soon as the funk is boppin off nigga i hit em up now you tell me who won i see them they run ha ha they dont wanna see us whole junior mafia clique dressin up tryna be us how the fuck they gonna be the mob when we always on our job we millionaires killin aint fair but somebody gotta do it oh yeah mobb deep you wanna fuck with us you little youngass motherfuckers dont one of you niggas got sicklecell or somethin youre fuckin with me nigga you fuck around and have a seizure or a heart attack you better back the fuck up before you get smacked the fuck up this is how we do it on our side any of you niggas from new york that wanna bring it bring it but we aint singin we bringin drama fuck you and yo motherfuckin mama we gon kill all you motherfuckers now when i came out i told you it was just about biggie then everybody had to open their mouth with a motherfuckin opinion well this is how we gonna do this fuck mobb deep fuck biggie fuck bad boy as a staff record label and as a motherfuckin crew and if you wanna be down with bad boy then fuck you too chino xl fuck you too all you motherfuckers fuck you too take money take money all of yall motherfuckers fuck you die slow motherfucker my 44 make sho all yall kids dont grow you motherfuckers cant be us or see us we motherfuckin thug life ridas westside til we die out here in california nigga we warned ya well bomb on you motherfuckers we do our job you think you mob nigga we the motherfuckin mob aint nothin but killas and the real niggas all you motherfuckers feel us our shit goes triple and 4quadruple you niggas laugh cause our staff got guns under their motherfuckin belts you know how it is when we drop records they felt you niggas cant feel it we the realest fuck em we bad boy killas,Tension
300,"Hold On, We’re Going Home",i got my eyes on you youre everything that i see i want your hot love and emotion endlessly i cant get over you you left your mark on me i want your hot love and emotion endlessly cause youre a good girl and you know it you act so different around me cause youre a good girl and you know it i know exactly who you could be just hold on were going home just hold on were going home its hard to do these things alone just hold on were going home i got my eyes on you youre everything that i see i want your hot love and emotion endlessly i cant get over you you left your mark on me i want your hot love and emotion endlessly cause youre a good girl and you know it you act so different around me cause youre a good girl and you know it i know exactly who you could be just hold on were going home going home just hold on were going home going home its hard to do these things alone things alone just hold on were going home going home youre the girl youre the one gave you everything i loved i think theres something baby i think theres something baby youre the girl youre the one gave you everything i loved i think theres something baby i think theres something baby cause youre a good girl and you know it you act so different around me cause youre a good girl and you know it i know exactly who you could be just hold on were going home going home just hold on were going home going home its hard to do these things alone things alone just hold on were going home going home,Tenderness
301,Don’t Take the Girl,johnnys daddy was takin him fishin when he was eight years old a little girl came through the front gate holdin a fishin pole his dad looked down and smiled said we cant leave her behind son i know you dont want her to go but someday youll change your mind and johnny said take jimmy johnson take tommy thompson take my best friend bo take anybody that you want as long as she dont go take any boy in the world daddy please dont take the girl same old boy same sweet girl ten years down the road he held her tight and kissed her lips in front of the picture show stranger came and pulled a gun grabbed her by the arm said if you do what i tell you to there wont be any harm and johnny said take my money take my wallet take my credit cards heres the watch that my grandpa gave me heres the key to my car mister give it a whirl but please dont take the girl same old boy same sweet girl five years down the road theres gonna be a little one and she says its time to go doctor says the babys fine but youll have to leave cause his mommas fadin fast and johnny hit his knees and then he prayed take the very breath you gave me take the heart from my chest ill gladly take her place if youll let me make this my last request take me out of this world god please dont take the girl johnnys daddy was takin him fishin when he was eight years old,Tenderness
302,Because Of You,im independent to a fault i know this well but i finally found love without losing myself im so much happier sharing my life all of the good things and bad things alike im not afraid of the truth im not me without you because of you im me all of a sudden im something i wasnt because of you i see everything i can be lonely is history i know that im better when were together because of you im me well theres nothing wrong with the world oh when you smile the most beautiful sound i ever heard is you breathing at night when youre asleep and dont know i can hear sounds like an angel whispering in my ear i dont know what i would do if it wasnt for you because of you im me all of a sudden im something i wasnt because of you i see everything i can be lonely is history i know that im better when were together because of you im me oh because of you im me i dont need you the way a child needs a home its more like im free to admit im not too proud to say out loud i am who i am cause youre part of me now because of you im me all of a sudden im something i wasnt because of you i see everything i can be lonely is history i know that im better when were together because of you im me oh because of you im me,Tenderness
303,Burn the Witch,stay in the shadows cheer at the gallows this is a roundup this is a lowflying panic attack sing the song on the jukebox that goes burn the witch burn the witch we know where you live red crosses on wooden doors if you float you burn loose talk around tables abandon all reason avoid all eye contact do not react shoot the messengers this is a low flying panic attack sing the song of sixpence that goes burn the witch burn the witch we know where you live we know where you live,Tension
304,Country Living,do do dowah do do dowah goin back goin back im going back to country living where the air is fresh and clean going back to natural living where the grass grows tall and green and the skies can be seen ill say goodbye to kingston city city life is not for me going where the stars shines brightly and the sound of natures voice goes in the scene cause theres room enough for both of us time enough to tell all the things you wanna do country life oh with you yeah with yougoin back yeah yeah im going back to country living thats where i was meant to be gonna take life nice and easy country town is my gonna live as i please ooh ooh cause theres room enough for both of us yall time enough to tell all the things you wanna do country life oh with you yeah with you going back to country living thats where i was meant to be gonna take life nice and easy country town is my old hometown gonna live as i please yes cause theres room enough for both of us now time enough to tell yall all the things you wanna do country life oh with you yeah with you theres room enough for both of us now time enough to tell yall all the things you wanna do country life oh with you yeah with you,Tenderness
305,Hey Sunrise,bathe in the sunlight is everything alright i bet huh oh yeah we build the house together in freezing cold weather with the fish in the tank to say thanks thanks its beginning to look like its light its beginning to look like its quite bright my sunrise in you eyes way to go let me know out of breath when we met there at noon for our debut its beginning to look like its light its beginning to look like its quite bright my sunrise in you eyes way to go let me know hey sunrise in your eyes,Tenderness
306,One More Chance,all you hoes calling here for my daddy get off his dick like that mommy beep hi daddy how you doing this is tyiest i was thinking about you last night mm you actin like you cant call me no more cause you busy and all of that but you trying to tell me it wasnt good beep that shit is real fucked up what you did i hooked you up with my girl and shit you fucked her every time you see her you dont even say shit to her you know what im saying and all that bitch do is call me all day talking about you why the fuck big dont want me beep yo big this is quita kenya told me she saw you and shanie at the mall and i know you aint fucking her you fucked with me last night thats my best friend and we dont get down like that beep yeah motherfucker this is stephanie i was waiting outside for your ass for like a fucking hour i dont know whats going on motherfuckers trying to rob me you be disappearing and shit im waiting in the cold what the fuck is going on when you get in give me a fucking call alright when it comes to sex im similar to the thrilla in manila honeys call me bigga the condom filler whether its stiff tongue or stiff dick biggie squeeze it to make shit fit now check this shit i got the pack of rough riders in the back of the pathfinder you know the epilogue by james todd smith i get swift with the lyrical gift hit you with a dick make your kidney shift here we go here we go but im not domino i got the funk flow to make your drawers drop slow so recognize the dick size in these karl kani jeans i wear thirteens know what i mean ill fuck around and hit you with the hennessy dick mess around and go blind dont get to see shit see shit the next batter here to shatter your bladder it doesnt matter skinny or fat or lightskinned or black baby i drop these boricua mamis screaming ay papi i love it when they call me big poppa i only smoke blunts if they rolled proper look i gotcha caught up with the drunk flow fuck tae kwon do i tote a fourfour for niggas getting mad cause they bitch chose me a big black motherfucker with g you see all i do is separate the game from the truth big bang boots from the bronx to bolivia getting physical like olivia newt tricks suck my clique dick all day with no trivia so give me a ho a bankroll and a bag of weed im guaranteed to fuck her til her nose bleed even if your new mans a certified mack youll get that htown in ya you want that old thing back oh biggie give me one more chance i got that good dick girl you didnt know oh biggie give me one more chance i got that good dick girl you didnt know oh biggie give me one more chance i got that good dick girl you didnt know oh biggie give me one more chance is my mind playing tricks like scarface and bushwick willie d having nightmares of girls killing me she mad because what we had didnt last im glad because her cousin let me hit the ass fuck the past lets dwell on the 500sl the ej and ginger ale the way my pockets swell to the rims with benjamins another honeys in the crib please send her in i fuck nonstop lick my lips a lot used to lick the clits a lot but licking clits had to stop cause yall dont know how to act when the tongue go down below peep the funk flow really though i got the cleanest meanest penis you never seen this stroke of genius so take off your timb boots and your body suit i mean the spandex and hit my man next sex get rougher when it come to the nut buster pussy crusher black nasty motherfucker i dont chase em i replace em and if im caressing em im undressing em fuck what you heard whos the best in new york fulfilling fantasies without that nigga mr roarke or tattoo i got you wrapped around my dick and when i nut i got to split shit backshots is my position i got you wishing for an intermission fuck the kissin lickin you down to your belly button i aint frontin they dont call me big for nuttin all of a sudden oh biggie give me one more chance oh biggie give me one more chance oh biggie give me one more chance oh biggie give me one more chance,Tension
307,Wild World,dont go dont go please stay now that ive lost everything to you you say you wanna start something new and its breakin my heart youre leavin baby im greavin but if you wanna leave take good care i hope you have a lot of nice things to wear but then a lot of nice things turn bad out there oh baby baby its a wild world its hard to get by just upon a smile girl oh baby baby its a wild world ill always remember you like a child girl you know ive seen a lot of what the world can do and its breaking my heart in two because i never wanna see you a sad girl dont be a bad girl but if you wanna leave take good care hope you make a lot of nice friends out there but just remember theres a lot of bad everywhere you know ive seen a lot of what the world can do and its breaking my heart in two cause i never wanna see you a sad girl dont be a bad girl but if you wanna leave take good care i hope you have a lot of nice things to wear but then lot of things turn bad out there,Sadness
308,Hound Dog,you aint nothing but a hound dog crying all the time you aint nothing but a hound dog crying all the time well you aint never caught a rabbit and you aint no friend of mine when they said you was high classed well that was just a lie when they said you was high classed well that was just a lie you aint never caught a rabbit and you aint no friend of mine you aint nothing but a hound dog crying all the time you aint nothing but a hound dog crying all the time well you aint never caught a rabbit and you aint no friend of mine ahhhhhhhhhh ahhhh ahhhhhhhhhh ahhhh when they said you was high classed well that was just a lie when they said you was high classed well that was just a lie well you aint never caught a rabbit and you aint no friend of mine you aint nothing but a hound dog crying all the time you aint nothing but a hound dog crying all the time well you aint never caught a rabbit and you aint no friend of mine,Tension
309,Double Dare,i dare you to be real to touch to touch a flickering flame the pangs the pangs of dark delight dont cower dont cower in night fright dont back away just yet from destinations set i dare you to be proud to dare to shout aloud for convictions that you feel like sound from bells to peal i dare you to despise bureaucracy and all its lies in the void in the void they stare they never they never dared to dare i dare i dare i dare you you you you i dare you you i i i i i i i i i dare you,Sadness
310,Million Voices,ni ryari izuba rizagaruka hejuru yacu ni nd uzaricyeza ricyeza rwanda rwanda yeah rwanda rwanda they said many are called and few are chosen but i wish some wasnt chosen for the blood spilling of rwanda they said meshach shadrach and abednego thrown in the fire but they never got burned but i wish that i didnt get burned in rwanda they said the man is judged according to his works so tell me africa whats your worth theres no money no diamonds no fortunes on this planet that can replace rwanda rwanda rwanda yeah rwanda rwanda these are the cry of the children rwanda rwanda anybody hear my cry if america is the united states of america then why cant africa be the united states of africa and if england is the united kingdom then why cant africa unite all the kingdoms and become united kingdom of africa rwanda rwanda rwanda rwanda yeah yeah these are the cries of the children yeah can anybody out there hear our cries yeah heavens cry jesus cry lord did you hear us calling you yeah rwanda rwanda lord did you hear us calling can you do something in rwanda rwanda rwanda rwanda rwanda im talking bout jesus talking bout rwanda rwanda rwanda talking bout talking bout talking bout talking bout i wanna play my guitar for rwanda,Sadness
311,Bored to Death,theres an echo pulling out the meaning rescuing a nightmare from a dream the voices in my head are always screaming that none of this means anything to me and its a long way back from seventeen the whispers turn into a scream and i im not coming home save your breath im nearly bored to death and fading fast life is too short to last long back on earth im broken lost and cold and fading fast life is too short to last long theres a stranger staring at the ceiling rescuing a tiger from a tree the pictures in her head are always dreaming each of them means everything to me and its a long way back from seventeen the whispers turn into a scream and i im not coming home save your breath im nearly bored to death and fading fast life is too short to last long back on earth im broken lost and cold and fading fast life is too short to last long i think i met her at the minute that the rhythm was set down i said im sorry im a bit of a let down but all my friends are daring me to come over so i come over and over and over so let me buy you a drink and well pretend that you think that im the man of your dreams come to life in a dive bar and well go over and over and over and well go over and over and over and well go over and over and over and well go over and over and over save your breath im nearly bored to death and fading fast life is too short to last long back on earth im broken lost and cold and fading fast life is too short to last long oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh life is too short to last long oh oh oh oh oh oh oh oh oh,Sadness
312,The Bizness,and and bass up the track a little bit cause im i wanna hear that woom sssch woom knowhatimsayin yeah yeah you know the bizness common sense soul with the de la forget all them playas we the rhymesayers huh and thats the bizness hah gon do it like this gettin it hot like the chicago streets i speak divine of god theories no need to be high always exhale the facts cause i dont inhale lalie play the greater mans game to bounce off my losses so i can earn the acres uhh the houses yeah the horses huh of course its much greater than your benz or your lex the engine to my comprehension is just too complex much too complex efxeffects be live like das making moves down south to avoid the chaos and never flaunt the coin cause dimegetters be gazin they call me luther van they say my style is so amazing ha im fazin those whore supposed to have the last laughter cause even when im gone im reappearin in the after i haveta send respects to real money makers do not connect us with those champagne sippin money fakers taste the quarter pound with spice from chitown now what that prove youre so full you cant even move cause im the dtotheo thevtothee and cant another brother cook these delicacies well im the plu the gtotheone walk around the planet earth making money having fun uh and im the ctotheo doublemon i sit and think with a drink about how im gonna win im the ctotheo doublemon i sit and think with a drink do you wanna be a mc or do you wanna serve do you wanna be dope or do you wanna deal it fabricated acrylic i feel it im the style molester i do a show get extra ps like the large professor in fact i get more hoes than tessa peep game like a referee in sole control of my destiny in the best of three out of five whip anybody ass at nba live rappers take a dive like greg louganis with his gayass rather be in bebes alley than at the clique with gators not a hater of the players im more like a coach or an owner i used to love her but now i bone her ahuhhah at one point in rhyme i thought i lost my erection but then i got it back with the resurrection blessings upon rhymes old man who called him traitor big comstradamus niggas styles i predict im the ctotheo doublemon i sit and think with a drink about how im gonna win and im the dtotheo thevtothee and cant another brother cook these delicacies well im the plu the gtotheone walk around the planet earth making money having fun walk around the planet earth making money having fun walk around the planet earth making money having fun im the most from the coast of the eastern flav droppin more knowledge than litter on the new york pave its me wonder why in the place to be certified as superior mc while others explore to make it hardcore i make it hard for wack mcs to even step inside the door cause these kids is rhyming sometiming and when we get to racing on the mic they line up to see the lyrical killing with stained egos on the ceiling my rhymes escalates like black death rates over musical plates being played as the rule kids thinking stepping to the soul youre labelled fools who claims to drop jewels but for now you do the catching i dont worry on what crew you run or what section of earth you reside youre not even a man so i dont deem it mandatory taking your pride but i will cause my man said soulful delight you tried keepin it real yet you should try keepin it right thats understanding microphone mathematics which leads to currency and temporary world status and when one shows he posed threat to this one this one will make that one into none simple equation zero you shouldnt play hero if you cant stand strong like the island im from well im the plu the gtotheone walk around the planet earth making money having fun yeah and im the ctotheo doublemon i sit and think with a drink about how im gonna win and im the dtotheo thevtothee and cant another brother cook these delicacies see cant another brother cook these delicacies see cant another brother cook these delicacies well im the plu the gtotheone walk around the planet earth making money having fun walk around the planet earth making money having fun walk around the planet earth making money having fun ahh thats how thats how im supposed to do my thing huh like triple it alright thats how we do it all the way from strong island to chicago the type of freestyler flow yeah its fluid it aint even a flow no more hah intro dove pos and to the mighty mos def you know he nonstop to my man enola yo hes nonstop and to my kin de calhoun yo hes nonstop yo that girl mp yo shes nonstop and to that crew camp lo you know they nonstop and to that nigga pop life yo hes nonstop and to my cousin fudge love you know he nonstop my brother lucky and pert yo they nonstop and to my man joe buck you know he nonstop and my man extra p yo hes nonstop and my man mike divine you know he nonstop that kid called paul baby paul yo hes nonstop and to the jazzyfatnastees yo youre nonstop and my peoples beatminerz man they nonstop and to my man mr bug you know youre nonstop and ayo litro yo hes nonstop and to medina green yo youre nonstop and to my man prince paul yo hes nonstop and to that man kid capri yo you nonstop and a tribe called quest man they nonstop and dont forget timbo king yo he nonstop let me tell you a little something about the self tell em self i be a piece of the east coast so give a toast to plug wonder why back in the day who soaked his words in ginger so when i ran a phrase in june you didnt catch it til december im a member of them kids from the inner city giving you kiddies audible treats you be aching for making more money than a pagan holiday not from the pjs yet i still got something to say,Tension
313,Feel Irie,how long shall you carry that burdain on your shoulders how long shall those tears keep running down your beautiful face we all have troubles now and then know what im saying no matter how hard you try trouble will find us one way or the other people had troubles since the pope was an altharboy peolple had worries from when the dead sea was only critical hear those drums rollingand listen to those guitarsskanking chorus put a smile on your face dont let the troubles get you downshoop shoop doooo let me tell you how it feels we feel irieirie we feel irieiriewe feel irieirie we feel so irieirie do you feel like we do tell me do you feel like we do i say do you feel like we do no man can hide from his fears since they are bother him they always know where to find him come on walk tall and keep your head high i tell you again and again chorus,Tenderness
314,Just Like Heaven,show me show me show me how you do that trick the one that makes me scream she said the one that makes me laugh she said and threw her arms around my neck show me how you do it and i promise you i promise that ill run away with you ill run away with you spinning on that dizzy edge kissed her face and kissed her head dreamed of all the different ways i had to make her glow why are you so far away she said why wont you ever know that im in love with you that im in love with you you soft and only you lost and lonely you strange as angels dancing in the deepest oceans twisting in the water youre just like a dream youre just like a dream daylight licked me into shape i must have been asleep for days and moving lips to breathe her name i opened up my eyes and found myself alone alone alone above a raging sea that stole the only girl i loved and drowned her deep inside of me you soft and only you lost and lonely you just like heaven,Tenderness
315,Elderly Woman Behind the Counter in a Small Town,i seem to recognize your face haunting familiar yet i cant seem to place it cannot find the candle of thought to light your name lifetimes are catching up with me all these changes taking place i wish id seen the place but no ones ever taken me hearts and thoughts they fade fade away hearts and thoughts they fade fade away i swear i recognize your breath memories like fingerprints are slowly raising me you wouldnt recall for im not my former its hard when youre stuck upon the shelf i changed by not changing at all small town predicts my fate perhaps thats what no one wants to see i just want to scream hello my god its been so long never dreamed youd return but now here you are and here i am hearts and thoughts they fade away hearts and thoughts they fade away hearts and thoughts they fade fade away hearts and thoughts they fade away yeah hearts and thoughts they fade fade away hearts and thoughts they fade,Sadness
316,Believe In Love,whatever my eyes can see my heart can feel thats why i believe in love in love ive seen so many things throughout my life the only thing ive ever seen survive the test of time is the strength of your love and then the right seems wrong and the wrong seems right just be carefulbe strong whatever my eyes can see my heart can feel thats why i believe in love in love knowing my eyes can see as sure as the deep blue see thats why i believe in love you best that ever lasting smile gotta give thanks for the way youve touched my life with your love and when the right seems wrong and the wrong seems right ill be careful ill be strong whatever my eyes can see my heart can feel thats why i believe in love knowing my eyes can see as sure as the deep blue see thats why i believe in love in the moments when im alone in the times when im not sure i can always call on you in the moments when im unfair when it seems like no ones there theres one thing i know is true i can always count on you whatever my eyes can see my heart can feel thats why i believe in love knowing my eyes can see as sure as the deep blue see thats why i believe in love whatever my eyes can see my heart can feel thats why i believe in love in love knowing my eyes can see as sure as the deep blue see thats why i believe in love in the moments when im alone in the times when im not sure i can always call on you in the moments when im unfair when it seems like no ones there theres one thing i know is true i can always count on you whatever my eyes can see,Tenderness
