,title,lyrics,label
10,The Emperor Falls,brick by brick stone by stone dismantle the will of a man strip his flesh and bone reach out your hand the moment comes blade catches the light of your eyes the man slowly comes undone nobody noticed no one saw a thing all turned a blind eye to the fallen and the bad luck he brings you wake in the morning after the skys a color that you cant see friends have fallen by the wayside why isnt anyone talking to me get those funny looks in the market people you loved just stare wander on with your hands in your pockets even your girlfriend dont care theyve all come to watch the emperor theyve all come to watch the emperor theyve all come to watch the emperor to watch the emperor fall one part truth three parts deceit two parts shit that you made up add passion for heat did ya hear he said this can you believe he done that can you believe the nerve of the man let me at him tell me where hes at wake to your fave in the mirror see someone you dont recognize stare at the changes in the reflection youve become someone that you despise,Sad
11,It Makes No Difference Now,makes no difference now what kind of life fate hands me ill get along without you now thats plain to see i dont care what happens next cause ill get by somehow i dont worry cause it makes no difference now it was just a year ago when i first met you i learned to love you and i thought you loved me too but now thats all in the past and ill forget somehow i dont worry cause it makes no difference now now that we have really parted i cant believe were through i dont blame myself and im sure i cant blame you i know that something had to happen and it happened somehow i dont worry cause it makes no difference now after all is said and done ill soon forget you although i know that it will be so hard to do let things happen as they will and ill get by somehow i dont worry cause it makes no difference now,Sad
12,Angie (1993 Digital Remaster),angie angie when will those clouds all disappear angie angie where will it lead us from here with no lovin in our souls and no money in our coats you cant say were satisfied but angie angie you cant say we never tried angie youre beautiful yeah but aint it time we said goodbye angie i still love ya remember all those nights we cried all the dreams we held so close seemed to all go up in smoke let me whisper in your ear angie angie where will it lead us from here oh angie dont you weep all your kisses still taste sweet i hate that sadness in your eyes but angie wooh angie aint it time we said goodbye yeah with no lovin in our souls and no money in our coats you cant say were satisfied but angie i still love you baby everywhere i look i see your eyes there aint a woman that comes close to you come on baby dry your eyes but angie angie aint it good to be alive angie angie they cant say we never tried,Sad
13,Crossfire,day by day night after night blinded by the neon lights hurry here hustlin there no ones got the time to spare moneys tight nothin free wont somebody come and rescue me i am stranded caught in the crossfire stranded caught in the crossfire tooth for tooth eye for an eye sell your soul just to buy buy buy beggin a dollar stealin a dime come on cant you see that i i am stranded caught in the crossfire i am stranded caught in the crossfire i need some kind of kindness some kind of sympathy oh no were stranded caught in the crossfire save the strong lose the weak never turning the other cheek trust nobody dont be no fool whatever happened to the golden rule we got stranded caught in the crossfire we got stranded caught in the crossfire we got stranded caught in the crossfire stranded caught in the crossfire help me,Happy
14,Nashville Parthenon,if you ever make it back to nashville remember you have still got a friend ill meet you at the parthenon thats the place we always went its been so dull since you left nashville ive read the same books again again it makes me wish i wasnt bashful when it comes to other men but if i could have my way darling youd come home remember when you moved to nashville and the first time that we kissed remember when your mother found us remember that youre sorely missed and when you make it back to nashville well forget all of your sins and i still buy two pairs of everything so when you come home you ill be twins because if i could have my way i wouldnt be alone,Sad
15,The More I See You,the more i see you the more i want you somehow this feeling just grows and grows with every sigh i become more mad about you more lost without you and so it goes can you imagine how much ill love you the more i see you as years go by i know the only one for me can only be you my arms wont free you my heart wont try the more i see you the more i want you somehow this feeling just grows and grows with every sigh i become more mad about you more lost without you and so it goes can you imagine how much ill love you the more i see you as years go by i know the only one for me can only be you my arms wont free you my heart wont try the more i see you as years go by can you imagine how much ill love you the more i see you as years go by i know the only one for me can only be you my arms wont free you my heart wont try the more i see you as years go by the more i see you the more i want you the more i see you the more i want you the more i see you the more i want you,Sad
16,Certain Things We Do,chorus mr cheeks all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night mr cheeks its my first night in this spot i cant front people jump okay its rather hot im with my brother while roll he went and got the mole he said hell meet us at the party yeah we just did the show now all my peeps is on the floor and they bouncin the lost boyz is in the house theyre announcing announcing we getting lifted with these honeys that we just met theyre dime pieces but aint slidin with us yet we gots to get our stroll on hit the floor once see eye to eye hes on his way hes bringin more pound no need for my team to front in profile two shorties flirtin with freaky tah and bwild i see my niggaz in suit and hes chattin with this genuine fine ass man ass man yo kid i love it when my mind is in the right mist if you with me throw your elves up like this everybody now chorus w variations mr cheeks all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night mr cheeks yo shortie hop with the dk and y all night i think ill walk over there and get my cry on she playin hard to get but when i get that ima take it to the ss son i hit that i can see it in the eyes cause they dont lie shes tryin hard to resist baby dont try now grab your drink come close to me its only right and thats way its supposed to be now we loungin chillin in the vip got my nigga ref and bink with me g money jeff star they at the bar lb fam will gear up to par off the boo and the queens shreed and the cuts we represent fam nigga what givin love to everybody walkin by throw your elves in the air if you high chorus w variations mr cheeks all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night mr cheeks now im wanderin who im goin home with i got two chicks but only one is owned with i got the whip down south plus some toe up a favorite motherfucker safe from the floor up now the second ones hot cause she got class see the first ones butt she aint got ass like she do now you know how we do we only fuck with the beat that will feed you now do i have to tell you what i did grab my coat cause shorties in a slid to her diner we got our eat on you know my style kid i got my treat on so now we back at the last smokin cannabis sativa to the bone of the receiver put some sounds on as we end the herb end and that then again this world chorus w variations mr cheeks all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night all my ladies and mens this evening we can do this all night,Happy
17,Forming,rip them down hold me up tell them that im your gun pull my trigger i am bigger than mr prez in his big white house listen he says were comin out infiltration were numbin your minds concentration weve done time rip them down hold me up tell them that im your gun pull my trigger i am bigger than over there the queen she says lets stamp them out and dry those tears saturation we want in taxes flagellation weve got gashes rip them down hold me up tell them that im your gun pull my trigger i am bigger than in the cold the czars claimin just protectin rockets aimin alteration earth is changin observation we want action rip them down hold me up tell them that im your gun pull my trigger i am bigger than i the emperor proclaim us the masters we rule the game inclination somethin to dream on deprivation we are sons rip them down hold me up tell them that im your gun pull my trigger i am bigger than,Sad
18,Driving Home For Christmas,im driving home for christmas i cant wait to see those faces im driving home for christmas yea im moving down that line and its been so long but i will be there to sing this song to pass the time away driving in my car christmas gonna take some time top to toe in tailbacks got red lights on the run but soon therell be a freeway my feet on holy ground so i sing for you though you cant hear me when i get trough and feel you near me driving in my car driving home for christmas with a thousand memories i take look at the driver next to me hes just the same just the same top to toe in tailbacks got red lights on the run driving home for christmas yea get my feet on holy ground so i sing for you though you cant hear me when i get trough and feel you near me driving in my car christmas driving in my car driving home for christmas driving home for christmas im driving home for christmas oh i cant wait to see those faces im driving home for christmas yea well im moving down that line and its been so long but i will be there i sing this song to pass the time away driving in my car driving home for christmas its gonna take some time but ill get there top to toe in tailbacks oh i got red lights on the run but soon therell be a freeway get my feet on holy ground so i sing for you though you cant hear me when i get trough and feel you near me i am driving home for christmas driving home for christmas with a thousand memories i take look at the driver next to me hes just the same just the same top to toe in tailbacks oh i got red lights on the run im driving home for christmas yea get my feet on holy ground so i sing for you though you cant hear me when i get trough and feel you near me driving in my car driving home for christmas driving home for christmas with a thousand memories,Happy
19,Deform (live),degradation i dont want your rhinoplasty i dont need you not any more though i am a perverted man disproportioned version of a normal man dirty man any surgery can not get the god dam filth out of my head maladjusted not because of my appearance you cant see past how i was born are you blinded by the way you live violated version of a normal man dirty man reconstruction reformation reaching out into a shallow world my normal features they gaze with impunity i am an animal dont want to be a man i wish destruction on every man i see am i a man am i a man am i to forgive them means loss of my memory can i decide between a psycho and a citizen no chance of that i want death to my enemy im not a man im not a man how can you think of me judge of me watch me all i want to be is is to be free degradation i dont want your rhinoplasty i dont need you though i am a perverted man disproportioned version of a normal man dirty man any surgery can not get the god dam filth out of my head,Sad
20,Wicker Chair,in your little white wicker chair unsuspicious nobody cares for you youre so fucked up again you laugh at nothin in the pouring rain you try to tell yourself youre not insane you fool i hate you sometimes hey you know it aint coincidental that youre lost in place its drippin off your face and youre losin your precious mind but send me a postcard if you get that far you got a couple pennies in your rusty jar the truth youve been gone for awhile and its hard lookin at you when you look that way with your one night stands and your sleep all days ooh youre such a slut sometimes but hey you know it aint coincidental that youre lost in place its drippin off your face and youre losin your precious mind youre losin your mind youre losin your mind youre losin your mind i said youre losin your mind youre losin your mind youre losin your mind i said youre losin your mind youre losin your mind youre losin your mind i said youre losin your mind youre losin your mind youre losin your mind,Sad
21,Stickin In My Eye,when i look round i only see outta one eye as the smoke surrounds my head the sauna i hear the voices but i cant make out their words saying things saying things that i got something sticking in my eye got something sticking in my eye got something sticking in my eye i feel unusual from thinking about the underground decay god help me kill beneath the camera watch the world begin to cry its not from pity it comes from whats been sticking in my eye got something sticking in my eye got something sticking in my eye got something sticking in my eye got something sticking in got something sticking in got something sticking in my eye,Happy
22,Panama (Remastered Album Version),oh yeah uhhuh jump back whats that sound here she comes full blast and top down hot shoe burnin down the avenue model citizen zero discipline dont you know shes coming home with me youll lose her in that turn ill get her panama panama panama panama aint nothin like it her shiny machine got the feel for the wheel keep the movin parts clean hot shoe burnin down the avenue got an onramp comin through my bedroom dont you know shes coming home with me youll lose her in that turn ill get her uhoh panama panama ow panama panama ahohohohoh woo yeah were runnin a little bit hot tonight i can barely see the road from the heat comin off you know what im sayin ah reach down between my legs andease the seat back shes runnin im flyin right behind in the rearview mirror now got the fearin power steerin pistons poppin aint no stoppin now panama panama panama panama ahohohohoh panama panama ahohohohoh panama,Happy
23,Let's Get It Started,lets get it started in here and the bass keep runnin runnin and runnin runnin and runnin runnin and runnin runnin and runnin runnin and runnin runnin and runnin runnin and runnin runnin and in this context theres no disrespect so when i bust my rhyme you break your necks we got five minutes for us to disconnect from all intellect and let the rhythm effect obstacles are inefficient follow your intuition free your inner soul and break away from tradition coz when we beat out girl is pullin without you wouldnt believe how we wow shit out burn it till its burned out turn it till its turned out act up from north west east south everybody everybody lets get into it get stupid get it started come on get it started yea get it started lets get it started in ha lets get it started in here lets get it started in ha lets get it started in here lets get it started in ha lets get it started in here lets get it started in ha lets get it started in here yeah lose control of body and soul dont move too fast people just take it slow dont get ahead just jump into it yall hear about it the peasll do it get stutted get stupid dont worry bout it people will walk you through it step by step like youre into new kid inch by inch with the new solution transmit hits with no delusion the feelings irresistible and thats how we movin everybody everybody lets get into it get stupid get it started come on get it started yea get it started lets get it started in ha lets get it started in here lets get it started in ha lets get it started in here lets get it started in ha lets get it started in here lets get it started in ha lets get it started in here yeah the bass keeps runnin runnin and runnin runnin and runnin runnin and runnin runnin and cmon yall lets get cookoo uh huh lets get cookoo in here why not get cookoo uh huh lets get cookoo in here why not get cookoo uh huh lets get cookoo in here ow ow ow ya ya ya ya ya ya ya ya ya ya ya ya ya ya ya ya lets get ill thats the deal at the gate well bring the bud top drill just lose your mind this is the time yall test this drill just and bang your spine just bob your head like aplde up inside your club or in your bentley get messy loud and sick yall mount past slow mo in another head trip so come then now do not correct it lets get ignant lets get hectic everybody everybody lets get into it get stupid come on get it started come on get it started get it started lets get it started in ha lets get it started in here lets get it started in ha lets get it started in here lets get it started in ha lets get it started in here lets get it started in ha lets get it started whoa whoa whoa in here yeah cookoo uh huh we cookoo in here lets get cookoo uh huh we cookoo in here why not get cookoo uh huh we cookoo in here ow ow ow ya ya ya ya ya ya ya ya ya ya ya ya ya ya ya ya runnin runnin and runnin runnin and runnin runnin and runnin runnin,Happy
24,Metal,were in the building where they make us grow and im frightened by the liquid engineers like you my mallory heart is sure to fail i could crawl around the floor just like im real like you the sound of metal i want to be you i should learn to be man like you plug me in and turn me on oh everything is moving here i need my treatment its tomorrow they send me singing i am an american do you picture this if i should make the change id love to pull the wires from the wall did you and who are you and how can i try here inside i like the metal dont you all i know is no one dies im still confusing love with need,Sad
25,She Fell Away (2009 Digital Remaster),once she lay open like a road carbed apart the madness that i stumbled from but she fell away she fell away shed me like a skin she fell away left me holding everything once the road lay open like a girl and we drank and laughed and threw the bottle over but she fell away she fell away i did not see the cracks form as i knelt to pray i did not see the crevice yawn no sometimes at night i feel the end it is at hand my pistol going crazy in my hand for she fell away o she fell away walked me th the brink the fell away i did not see her fall to better days sometimes i wonder was she ever there at all she fell away she fell away she fell away,Sad
26,It's My Party,its my party and ill cry if i want to cry if i want to cry if i want to you would cry too if it happened to you nobody knows where my johnny has gone but judy left the same time why was he holding her hand when hes supposed to be mine its my party and ill cry if i want to cry if i want to cry if i want to you would cry too if it happened to you play all my records keep dancing all night but leave me alone for awhile till johnnys dancing with me ive got no reason to smile its my party and ill cry if i want to cry if i want to cry if i want to you would cry too if it happened to you judy and johnny just walked through the door like a queen with her king oh what a birthday surprise judys wearing his ring its my party and ill cry if i want to cry if i want to cry if i want to you would cry too if it happened to you oh its my party and ill cry if i want to cry if i want to cry if i want to you would cry too if it happened to you oh its my party and ill cry if i want to,Happy
27,Indian Love Call,oooooooo oooooooo when im calling you oooooooo oooooooo will you answer too oooooooo oooooooo that means i offer my love to you to be your own if you refuse me i will be blue waiting all alone but if when you hear my love call ringing clear oooooooo oooooooo and i hear your answering echo so dear oooooooo oooooooo then i will know our love will come true youll belong to me ill belong to you then i will know our love will come true youll belong to me ill belong to you,Sad
28,You Can Still Be Free,cool breeze and autumn leaves slow motion daylight a lone pair of watchful eyes oversee the living feel the presence all around a tortured soul a wound unhealing no regrets or promises the past is gone but you can still be free if time will set you free time now to spread your wings to take to flight the life endeavor aim for the burning sun youre trapped inside but you can still be free if time will set you free but its a long long way to go keep moving way up high you see the light it shines forever sail through the crimson skies the purest light the light that sets you free if time will set you free sail through the wind and rain tonight youre free to fly tonight and you can still be free if time will set you free and go high like the mountain tops and go high like the wind dont stop and go high hooo free to fly tonight free to fly tonight,Sad
29,I Never Came,when you say its dead and gone yes i know youre wrong cut and slash sharpest knife it wont die poison cup drank it up it wont die no fire no gun no rope no stone it wont die why you gotta shove it in my face as if you put me in my place cause i dont care if you or me is wrong or right aint gonna spend another night in your bed in your bed laws of man are just pretend they aint mine love so good love so bad it wont die some talk too long they know it all i just smile and move on words aint free like you and me i dont mind whyd you have to be so mean and cruel the dogs are loose im on to you you ball and chained together from the dawn to dusk cant call it leavin cause its just i never came i never came i never came i never came i never came i never came,Sad
30,Commercial Reign,marys crying for her baby for her baby doll ah commercial reign peters moaning for his teddy for his teddy bear ah commercial reign marys crying for her baby for her baby doll ah commercial reign peters moaning for his teddy for his teddy bear ah commercial reign marys crying for her baby for her baby doll ah commercial reign peters moaning for his teddy for his teddy bear ah commercial reign marys crying for her baby for her baby doll ah commercial reign peters moaning for his teddy for his teddy bear ah,Sad
31,WKYA (drop),radio announcer this is dj sayyyy what on this motherfucker comin at you live on wkya radio from the brick city the weather is callin for it to be hotter than a motherfucker out there so crack a brew roll a blunt cause the phone lines are open right now weve expanded to cities like atlanta dc tampa chicago dallas memphis detroit and la so call in now 1800highasamotherfucker thats 1800highasamotherfucker doctor doctor tell me how ya do it spit hot shit like it aint nuttin to it doctor doctor tell me how ya do it spit hot shit like it aint nuttin to it redman yo when i walk i stalk like a dog aroof writin fuck ya hometown on ya wall aroof wkya them niggaz thatll whip out the dick and piss all in your garments when i come around son lay em down this homey the clown play around so pay it now sweepin the block up mayor doc he in town ridin the highway at night to run a deer down i look for the action funk doc i dont look when im crashin im so dope i could bundle cookup by the aspirin gaspin like its aspen no air beef we bring it on with tap shoes and hope the popo there graduated they said red would go nowhere uhuh now source awards ride a water buffalo there polo gear holes in it the fofo wear ass out check the weather report for cold air brrrr on your hottest day of the summer i snowmobile in stack new jacks in the carter blow the building its wkya muhfucker bringin trouble your way so duck muhfucker yeahh twohundred and fiftyfivethousand pounds of guerilla shit funk fo yo ass motherfucker bricks to brooknam we hold it down ppp def squad ya tell me once and ill tell you again pull out the mac10 and rob yo friend yeahhh fucker wkya we kickin yo ass,Happy
32,Hate,pharoahe monche recognize me nigga look into my eyes see raw visualizations of hate reincarnated in its most unadulturated form i breeth evil incarnate only for the purpose to mislead what was once promising seeds are now destroyed and misplaced with mischievious weeds for greed the purpose inseminate the bitches eliminate top rappers throw their remains insides of ditches nigga political snitches abe me which is the very reason im able to strike so vicious yea take these keys that for years were not found allowing all simeons to be freed thats locked down it returns way back to the block only to cop more smack rock from cops that act not in a manner for you to prosper you are absolete unless you can handle the ball during a fullcourt press when the weak emotion of love fails to bring hope kneel to your master nigga invoke the strongest emotion known to mankind hate awww you are sadly mistaken if you think my aryan race can be taken out by the likes of you apes kikes conservative nigga loving gooks spooks and dykes my spikes bald headed white laces braces the fact that im prepared for vicious acts of war white power hate mike what we have hear is a situation where our government is allowing these aliens to take over the country we cant allow this to happen turn your bibles to psalms 3421 evil shall slay the wicked and they that hate the righteous shall be desolate you there young man in the back with your hand up prince poetry who me mike speak prince poetry a fucking taxpayer who salutes to a confederate flag my chain and thoughts is on the rag aryan ways learned from my granddad im on my toes around these monkeys and spics i thank god that im white pure and dont mix we need to snatch up these niggas and fags reissue slave tags regain job positions remain in control of opposition placed here to be the scum of the earth serving us hand and foot ill rape em and slave and trade em from birth never to overlook the main crook who disperse shook versions of the bible sabotaging shit since christophers arrival hate making them indian pay for survival now life for ricans and coons is homicidal we neonazis seek nothing but world domination gods plan is for us to seek and destroy mans false creation its exerted in the good book of revelations set up to destroy spades and jews from hidden stations so my offsprings can end all this confusion for good no more smooching off of welfare for jiggaboos in the socalled hood sickle cells decreasing your death rate you black bitch but i like the way you suck my wood germ grenades now in the form of aids were made to wipe you out but now them queers got that shit semireversed running about im off to college with a knapsack of sacrilegious artifacts notes from the grand dragon swastika three grams two gats with hate,Sad
33,I Can't Stop Loving You,i cant stop loving you so ive made up my mind to live in memory of such an old lonesome time i cant stop wanting you its useless to say so ill just live my life in dreams of yesterday those happy hours that we once knew though long ago they still make me blue they say that time heals a broken heart but time has stood still since weve been apart,Sad
34,How Can You Call That Beautiful (Stewkey Vocal),believe me i would rather say nothing than lie but have you heard about that socalled beautiful guy i was begging for some money at the usual time the only thing he gave me was a lousy dime how can you call that beautiful why cant you see that im beautiful how can you call that beautiful why cant you see how beautiful i am i never paid him much attention before i think i know why i never noticed him more he doesnt pay enough attention to me hes a nice enough guy but hes not what i am you believe me i believe every word you say so tell me what you did to be beautiful today its not that i think youre not a beautiful lot i wouldnt want to hang around with someone whos not how can you call that beautiful why cant i see that youre beautiful how can you call that beautiful why cant i see how beautiful you are too youre a nice enough guy but youre not what youd have me believe i guess were not as beautiful as we thought but it really doesnt matter as long as were all just as ugly i guess i really have made a lot of mistakes and maybe i havent got what it takes the stuff that i need to be a beautiful me im a nice enough guy but im not what id have you believe,Happy
35,Candy Man,well candyman said been here and gone well candyman said been here and gone candyman said been here and gone wish i was in new orleans sittin on a candy stand well candyman said salty dog well candyman said salty dog well candyman said salty dog i cant be your salty dog and i wont be your candyman run to the corner get the baby some beer run to the corner get the baby some beer run to the corner get the baby some beer wish i was in new orleans sittin on a candy stand well candyman said been here and gone well candyman said been here and gone candyman said been here and gone wish i was in new orleans sittin on a candy stand,Sad
36,On Bended Knee,and i darlin i i cant explain where did we lose our way girl its drivin me insane and i know i just need one more chance to prove my love to you if you come back to me ill guarantee that ill never let you go can we go back to the days our love was strong can you tell me how a perfect love goes wrong can somebody tell me how to get things back the way they used to be oh god give me the reason im down on bended knee ill never walk again until you come back to me im down on bended knee so many nights i dream of you holding my pillow tight i know that i dont need to be alone when i open up my eyes to face reality every moment without you it seems like eternity im begging you begging you come back to me can we go back to the days our love was strong can you tell me how a perfect love goes wrong can somebody tell me how to get things back the way they used to be oh god give me the reason im down on bended knee ill never walk again until you come back to me im down on bended knee baby im sorry please forgive me for all the wrong ive done please come back home girl i know you put all your trust in me im sorry i let you down please forgive me girl im gonna swallow my pride say im sorry stop pointing fingers the blame is on me i want a new life and i want it with you if you feel the same dont ever let it go you gotta believe in the spirit of love it can heal all things we wont hurt any more no i dont believe our loves terminal im down on my knees begging you please come home can we go back to the days our love was strong can you tell me how a perfect love goes wrong can somebody tell me how to get things back the way they used to be oh god give me the reason im down on bended knee can we go back to the days our love was strong can you tell me how a perfect love goes wrong can somebody tell me how to get things back the way they used to be oh god give me the reason im down on bended knee ill never walk again until you come back to me im down on bended knee,Sad
37,Little Girl (LP Version),hello little girl little girl little girl hello little girl little girl hello where have you been why did you go little girl hello you know that youre wrong little girl little girl i shouldnt have to tell you whats wrong little girl little girl you know that was wrong for you to leave our happy home oh baby little woman hello incomprehensible hello would you stay little girl little girl how long would you stay this time little girl how long would you stay for you to decide to go away little girl hello you dont how its been without you baby come on in sit down let me tell you how its been without you baby lonely oh its been so lonely yeah lonely baby hey its been so lonely why did you have to go how long would you stay cant you see cant you see that i love you yeah,Happy
